998	1	1
998	1	1
998	1	1
998	1	1
998	1	1
998	1	1
998	1	1
998	1	1
998	1	1
998	1	1
998	1	1
998	1	1
998	1	1
998	1	1
998	1	1
998	1	1
998	1	1
998	1	1
998	1	1
998	1	1
998	1	1
998	1	1
998	1	1
998	1	1
998	1	1
998	1	1
6	2	72
6	2	72
6	2	72
6	2	72
6	2	72
6	2	72
6	2	72
6	2	72
6	2	72
6	2	72
6	2	72
6	2	72
6	2	72
6	2	72
6	2	72
6	2	72
6	2	72
6	2	72
6	2	72
6	2	72
6	2	72
6	2	72
6	2	72
6	2	72
6	2	72
6	2	72
6	2	72
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
1	998	1
